album_id;album_type;album_upc_id;genres;label;popularity;release_date;release_date_precision;available_markets;artist_names;artist_ids;artist_types;track_names;track_ids;copyright_text;copyright_type
"3h4pyWRJIB9ZyRKXChbX22";"album";"093624999881";[];"143/Reprise";71;"2007-04-27";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["Michael Bublé"];["1GxkXlMwML1oSg5eLPiAz3"];["artist"];["The Best Is Yet To Come","It Had Better Be Tonight [Meglio Stasera]","Me And Mrs. Jones","I'm Your Man","Comin' Home Baby - Duet With Boyz II Men","Lost","Call Me Irresponsible","Wonderful Tonight - Duet With Ivan Lins","Everything","I've Got The World On A String","Always On My Mind","That's Life","Dream"];["56t3m0lqE6zU1EfgFOPqst","7oQs0qakNPmmRNvXcr9QBT","30cwzvmxhBPdlD1g9efF0k","6N8w4dGQd3bmfa2oUs8xO3","3E3iZv9qyoKIy13mbjX89A","6vhYDNMZgffPwcdXdvMqCS","25RxZw46RfYpVWMIrIeZDS","204I3ezgUZ0UhU5lLgR6jl","4T6HLdP6OcAtqC6tGnQelG","3GU6fyFQ1Kuy7R0Pe4IaO7","4zKbPdCC2o8726tHh5sEJw","7wgYqjzA3qJLpyz89IlVPA","6Px92SOotPZgcW7wz3V0Lm"];["2007 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S.","2007 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S."];["C","P"]
"7GaAXgbFSpcJOiLlFGYyOL";"album";"00724358480054";[];"Blue Note Records";69;"2004-02-10";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["Norah Jones"];["2Kx7MNY7cI1ENniW7vT30N"];["artist"];["Sunrise","What Am I To You?","Those Sweet Words","Carnival Town","In The Morning","Be Here To Love Me","Creepin' In - feat. Dolly Parton","Toes","Humble Me","Above Ground","The Long Way Home","The Prettiest Thing","Don't Miss You At All"];["7zkLpY72g6lKQbiHDqri1S","0AMKZWRgdFfGYYTxiWrwwH","2MKLbFPQ3QDXpQ0KnS06Kl","3T4pMhHBQiDZMb8G9BB9QJ","3Y99RpBAwKyWy2xdJArADG","3URb74mrpnRWY1HtTBEUKH","4yzFhsULEg65lbA7wjKaAQ","05SZs9JZLaGaXb28qIMV9c","7BboupyTdAr1nmMJZw0V4h","59afPl901jbO8uT8XHgxkq","36614jRE5gbd32fL1yAxv7","6eT08jQH8w5BNfAec85k31","16i1XlqGhwkmiSwXvOD752"];["Blue Note (R) is a registered trademark of Capitol Records, Inc. (P) 2004 Capitol Records, Inc.","Blue Note (R) is a registered trademark of Capitol Records, Inc. (P) 2004 Capitol Records, Inc."];["C","P"]
"4x0HJqUUDRvJLZbie95Ayk";"album";"00602517900905";[];"Digital Distribution Trinidad and Tobago";60;"2008-01-01";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","UY","VN"];["Duffy"];["37NqXwtb6nIEqRt4EJSoIO"];["artist"];["Rockferry","Warwick Avenue","Serious","Stepping Stone","Syrup & Honey","Hanging On Too Long","Mercy","Delayed Devotion","I'm Scared","Distant Dreamer","Rain On Your Parade","Fool For You","Stop","Oh Boy","Please Stay","Breaking My Own Heart","Enough Love"];["3inn04OGQ3SUcv2B51s90v","0ygTmpa6uSotkBkTiwcMZ4","2cRVASZdhHOS7M46mgUOVS","23g4kW38gB9f5wu96DLudy","35WN7C2LDXhQs3upedUIcQ","4zfPHA29MnyTm9ijfRnIS1","5fjJpozmvFhTxZIKdb4f1N","63iUQssK3mU53zRb0DXrtv","2lhaX4jQgnBH0hDx4ZsJ6C","4nEv4zLUHhHoLVvwss413x","1DOYq3POdC6OGrSRaiT1Lw","14rNkOoTBFfuLDAhEwIHv6","46uVeMPPeJqeMR6851GSHA","16iYhDf40j56Js7AMmNozE","5oexTQsNGafDYUMhUwDUUf","4w99pzp63KjaIF2dYyDwAk","4Lm3QVpCTJA1IyJrQNMpSE"];["© 2008 Aimee Duffy","℗ 2008 Aimee Duffy"];["C","P"]
"1ujSRXhOZaq3QVbJ1gVkNl";"album";"5414939934605";[];"[PIAS] Holland";51;"2016-01-29";"day";["BE","LU","NL"];["Matt Simons"];["1g0fXhQMHAxlRyIBkCbuE7"];["artist"];["Catch & Release (Deepend remix)","You Can Come Back Home","Tonight","It's Not Enough","To The Water","Weight On Me","One Last Time","Light In You","Tear It Up","What I'm Looking For","State Of Things","The Higher Ground","Already Over You","Say Goodbye","Catch & Release"];["3NNqqioprPCnYcVtDn3wvS","0x5kDhqevQqO5r5cTeLJxv","0KCz14vTRguVrsHjGYZ87J","2BRZWcGDySUZqyRqWNgD5j","2zVh0QGOzYQ1xx9SHxJ3wg","5qmf51vkglaPxtJcpKyvaF","0FTKrws8XFVKDRzVsHbu8S","48EHHbN2CvpTtBO1ZM2m47","3HALglohK64llVpAMlPoaH","4VoRqpyamtIqZ7rSVdDVXb","6W4eoKkT9RCLsyrgOtC6xu","1DA79le9vWiEI3pAo2bIpa","1l6KgvECBljxmDBmzKmHny","6DNn1QMzJCeKozYtRwm6ob","1PVyUNzBT1D6y10Ksu5xCI"];["2016 Maspeth Music BV under exclusive license to [PIAS] Recordings Holland","2016 Maspeth Music BV under exclusive license to [PIAS] Recordings Holland"];["C","P"]
"5tF2lAa2rh2kU2xIiBzWia";"album";"886444559317";[];"Columbia";74;"2014-06-27";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","UY","VN"];["George Ezra"];["2ysnwxxNtSgbb9t1m2Ur4j"];["artist"];["Blame It on Me","Budapest","Cassy O'","Barcelona","Listen to the Man","Leaving It Up to You","Did You Hear the Rain?","Drawing Board","Stand by Your Gun","Breakaway","Over the Creek","Spectacular Rival","Song 6","It's Just My Skin","Da Vinci Riot Police","Blind Man in Amsterdam","Cassy O' - Live from Spotify, Stockholm","Listen to the Man - Live from Spotify, Stockholm","Angry Hill - Live from Spotify, Stockholm"];["2Zgnaip1c876zmBhz9HifI","7GJClzimvMSghjcrKxuf1M","24fXShNbufmThxBTWWPfO1","1yJZwBqTyGTB7mz8nZyiel","6zR5rIivVSMFkgzIkVp8l9","148iKYznRW7IcRbSWJm8ZK","0gqhpEUEdN4aVEwwM7ZJJi","6L42Utj3rnzJsJXwhUUwmw","5w9L4OCR45z7Y0KeKlDVkA","5xN48kwYZWTUDXbPxVeszJ","069cNWZzLaESdPrPGCb6zd","1iby4dIb842e6gJGprzhCa","2ti6vKzYNKvZVIpbPNtTcq","0B0k37yUWHEB9MMJaBB3Eo","2Ul7mIL48u4VC7XFvwoZcW","0i6MCc5dqsdj3z7xELIS4s","7bpkHC3s4wYbTmHINpeSqu","1bGjXSLi87O0EMbHR7O67j","6t7dkOM8Fw2vxlZNwGf9hW"];["(P) 2014 Sony Music Entertainment UK Limited"];["P"]
"0W5GGnapMz0VwemQvJDqa7";"album";"825646658640";[];"Atlantic Records UK";74;"2011-09-09";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["Ed Sheeran"];["6eUKZXaKkcviH0Ku9w2n3V"];["artist"];["The A Team","Drunk","U.N.I.","Grade 8","Wake Me Up","Small Bump","This","The City","Lego House","You Need Me, I Don't Need You","Kiss Me","Give Me Love"];["1VdZ0vKfR5jneCmWIUAMxK","51Be0m3caz9EourH3LIHvY","7fVR8piTfS8dhqSzph50qB","3OXzT07QntlOQEZRGtJ73b","3bZTspAdEUAKc2M1Sle125","2sKgjO8vxk7znTpwNAptaW","2aMkInuJrM9arjA8dpQJqC","6j6pSj2RdGxtnOhxHsWqQZ","53Pgsvu3qSYO2aXt5J2vcL","2DCeRqdQkjtihpsv79TAJh","4mQCOxLRPvVGjsfKpOBSlN","1NvOOkafczKxO5YXRR01ax"];["2011 Warner Music UK Limited","2011 Warner Music UK Limited"];["C","P"]
"2Upqk0mMh9OMIVSj9F8Xzw";"album";"769233005021";[];"World Circuit";69;"1997-09-16";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["Buena Vista Social Club"];["11kBu957KTYoAltZHDm8gW"];["artist"];["Chan Chan","De Camino a La Vereda","El Cuarto De Tula","Pueblo Nuevo","Dos Gardenias","¿Y Tú Qué Has Hecho?","Veinte Anos","El Carretero","Candela","Amor De Loca Juventud","Orgullecida","Murmullo","Buena Vista Social Club","La Bayamesa"];["7DqTaelFf846rl1CHmyfOW","1E7EDGKKn6I8fzlYQbYlsh","0NkBKaWhqR1KN67bUPlvYp","3fxQl6UPejmz0NctfkKNIV","3Fn6K2roSmzhKzp5BBJKJl","3taEjCIke1nQg63Q4j2atK","2zinXo0vU1SLBCSN9zwwlj","3sNO5YDC03WoCQ6nnd15Y7","5FEbJEYluldTJNZOeAahlC","1fppesaoMgxSd0oo2j1skF","4DFGaSmDjCdZdFiBoI996o","5cRkK755yOmkzz2q2DBH1N","3ofkEmGpqIZt9dPZwRLMDz","1DiRwvTwQ8UoesKTnyhGMN"];["World Circuit","World Circuit"];["C","P"]
"4OTAx9un4e6NfoHuVRiOrC";"album";"886444160742";[];"G.O.O.D. Music/Columbia";79;"2013-08-30";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["John Legend"];["5y2Xq6xcjJb2jVM54GHK3t"];["artist"];["Love In The Future (Intro)","The Beginning...","Open Your Eyes","Made to Love","Who Do We Think We Are","All of Me","Hold On Longer","Save The Night","Tomorrow","What If I Told You? (Interlude)","Dreams","Wanna Be Loved","Angel (Interlude)","You & I (Nobody in the World)","Asylum","Caught Up","So Gone","We Loved It","Aim High","For the First Time"];["1DM0p3WrhjLh6sddmLK0c9","6KLgKZwCJp8GWo35KEOF3S","03YrTPLMgGXQOlKTTBwgiO","1G2Ya2ubnlS7xFfs1CfY3j","2scd9lw4ljzDwMfG3WW4gD","3U4isOIWM3VvDubwSI3y7a","5GNvTRrghExnVkZfAasBXg","7vugjA0BxBUIRqrdRjncBx","0LoL9e5uLLtjYOx41TRcxE","3okyrXShiPzxXzWwAGQHIm","37XoUirsSqwmJG9cyBhznJ","1FGINGTZ23XJRf68sN60T9","7tJRs2UPalK0XWwkQ4e73I","55nlbqqFVnSsArIeYSQlqx","7lomZYWSJafp2msfEQyjy5","1cR4aNHFDCVESzt8HhxO17","4jMmMxVZIK6Tykoa3ehmAZ","6FmEVOQProbemD1POcFZji","3ZvmOf48d9zZGrVs90CsRH","1kzc6gS8MnxCDX7ykBXsxM"];["(P) 2013 Getting Out Our Dreams and Columbia Records, a Division of Sony Music Entertainment"];["P"]
"5y28RdPzIRXegzr5YM9Y0D";"single";"634904074869";[];"XL Recordings";66;"2015-10-23";"day";["AD","AT","AU","BE","BG","CA","CH","CY","CZ","DE","DK","EE","ES","FI","FR","GB","GR","HK","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MY","NL","NO","NZ","PH","PL","PT","SE","SG","SK","TH","TR","TW","VN"];["Adele"];["4dpARuHxo51G3z768sgnrY"];["artist"];["Hello"];["1MDoll6jK4rrk2BcFRP5i7"];["2015 XL Recordings Limited.","2015 XL Recordings Limited."];["C","P"]
"7r36rel1M4gyBavfcJP6Yz";"compilation";"696998600522";[];"Columbia";75;"2001-10-02";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["Billy Joel"];["6zFYqv1mOsgBRQbae3JJ9e"];["artist"];["Piano Man","You're My Home","Captain Jack","The Entertainer","Say Goodbye to Hollywood","Miami 2017 (I've Seen the Lights Go Out on Broadway)","New York State of Mind","She's Always a Woman","Movin' Out (Anthony's Song)","Only the Good Die Young","Just the Way You Are","Honesty","My Life","It's Still Rock and Roll to Me","You May Be Right","Don't Ask Me Why","She's Got a Way - Live","Allentown","Goodnight Saigon","An Innocent Man","Uptown Girl","The Longest Time","Tell Her About It","Leave a Tender Moment Alone","A Matter of Trust","Baby Grand","I Go to Extremes","We Didn't Start the Fire","Leningrad","The Downeaster 'Alexa'","And So It Goes","The River of Dreams","All About Soul - Remix","Lullabye (Goodnight, My Angel)","Waltz No. 1 (Nunley's Carousel)","Invention In C minor"];["3FCto7hnn1shUyZL42YgfO","4p6p7ynFrJ71chcXoR2FZq","3ij9d7E3pTbXcr0pPE5a2d","7sFX6OyMRjC27PUJY5gp15","0h3hyTnhPGaEDvomv6wuMj","3ka3ODhzYjfignpmSB0Os7","3zIIjuvnDALIs9WNl3w3uT","5pQPIO8TU5l6CG50m6097l","3DBVtnyVhc0WGT51K28TC9","4gehZ6WYqLOXZpmMEq3Em9","20NBVwyVDqpcyQQ36ygcI6","5iteQZfH6xKjrm7tA3cU6h","6Ep2XErOa5SCBGzARBpCr4","7LbOQt7isddrw3Bs3Czl7E","4qB3RW5ZifZpAHNXAn3JSf","0iAfh5FLixOF3E5JSyk884","723EZydLVlQmEF7UToqiwD","2veYJl7RAW2lkveifGHYKT","4X7UqvLO8ThktU9M2XNxW9","4x1LynYPM9qOtmB7ggoVz0","3CSpzkoL1XgDBZ1q9aDCUV","3YhcVZIWyakQSTUJD1YMt4","0RfdoNWHJbZxAI3sOWS8Q7","3pokQjeRJg3K7g0izMUlMj","5Miaj9wRfCe3txB9tK65ck","13GO4xVcrghw46YfwTmTH9","2xudmLTZqwDNiDGMuOqSRD","38bDGWuyYdSdNfrFfbCiVS","0IcFhAtZQqCgdv4ugyjQZx","78Md5Q7vnKtOlTRTK1m2ru","2r2XzhBMB4liDL9YW80Fqs","1ndqYQyhyv0kT13ZhSkoh1","6EdVNX7wbjL2xS3u99xaa0","2GTC5mupEuJm5HOB76y08J","3CPaiWrgFvDOWFFmrZer63","49uIhP0eyvndLz5ML5FQ0G"];["This compilation (P) 2001 Sony Music Entertainment"];["P"]
"0kSkzG0sfuG4lRuFF5jWVr";"album";"075678025464";[];"Elektra Records";60;"1968-02-23";"day";["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];["Otis Redding"];["60df5JBRRPcnSpsIMxxwQm"];["artist"];["(Sittin' On) The Dock Of The Bay","I Love You More Than Words Can Say","Let Me Come On Home","Open The Door","Don't Mess With Cupid","The Glory Of Love","I'm Coming Home To See About You","Tramp","The Huckle-Buck","Nobody Knows You [When You're Down And Out]","Ole Man Trouble"];["4Y4Gd3ty8uut6Qw43c7yJc","6pIQthK47HGXz2SLwrolj4","3QOSKKTi22qp8hoYm56kr5","0HUeWBNdi1qXXs3Ejj6NJK","0ePdoI6HRNgfuZHS3U8nvk","7z9pYu5SvnPthpKNcjUtka","2oLaZVSbX8U2zXrzHiBixE","6Hon1lHa9Y5rMMTrTySoLV","01mjm09Ju9UmPgxNgOjNnK","3C8JVq811dJBtOQx0LktPZ","7x2EPYjTrz9wYUOe5S62zV"];["1968 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.","1968 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."];["C","P"]
